	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
0	0.0	0.0	0.00046026	27254.0	35.0	-0.6	2.33				23.4302	4.2215	-5.486	19.4781	-5.486
1	1.0	0.0104	0.0004601	18497.0	57.0	-0.0	2.37				23.6568	4.2578	-5.4532	19.5197	-5.4532
2	2.0	0.0208	0.00046737	43300.0	130.0	-0.47	0.78				21.7333	2.636	-6.9239	17.6605	-6.9239
3	3.0	0.0312	0.00046705	36565.0	46.0	-0.34	1.52				21.8167	2.7063	-6.8601	17.7411	-6.8601
4	4.0	0.0417	0.00046655	26880.0	73.0	-0.23	3.38				21.9473	2.8164	-6.7603	17.8673	-6.7603
5	5.0	0.0521	0.00046797	42261.0	48.0	-0.53	4.02				21.5772	1.5877	-7.0432	17.5097	-7.0432
6	6.0	0.0625	0.00046991	48164.0	47.0	-0.94	4.23				21.0753	1.1683	-7.427	17.0245	-7.427
7	7.0	0.0729	0.00046892	51479.0	34.0	-0.74	4.45	0.8437	-0.6192		21.3309	1.3819	-7.2315	17.2716	-7.2315
8	8.0	0.0833	0.0004682	15083.0	32.0	-0.58	4.61	0.7909	-0.2544		21.5175	1.5378	-7.0889	17.4519	-7.0889
9	9.0	0.0938	0.000466	15708.0	31.0	-0.11	5.11	0.6468	0.3747		22.0912	5.1052	-6.6502	18.0064	-6.6502
10	10.0	0.1042	0.00046571	29967.0	44.0	-0.05	5.17	0.6292	0.3927		22.1672	5.1706	-6.5921	18.0799	-6.5921
11	11.0	0.1146	0.00046681	21125.0	41.0	-0.22	4.92	0.6691	0.1497		21.8794	4.9228	-6.8122	17.8017	-6.8122
12	12.0	0.125	0.00046702	78343.0	137.0	-0.0	4.88	0.6768	0.1172		21.8245	4.8756	-6.8541	17.7487	-6.8541
13	13.0	0.1354	0.00047135	94110.0	311.0	-0.29	3.91	0.7933	-0.7128		20.7054	3.9122	-7.7098	16.667	-7.7098
14	14.0	0.1458	0.00048207	67140.0	196.0	-2.85	1.6	0.8987	-2.6054	-2.9838	18.0212	1.6014	-9.7621	14.0726	-9.7621
15	15.0	0.1562	0.00048642	82428.0	241.0	-4.3	0.69	0.9184	-3.0267	-3.4929	16.9658	0.6928	-10.5691	13.0525	-10.5691
16	16.0	0.1667	0.0004821	16620.0	66.0	-3.44	1.53	0.7495	-1.7973	-2.3239	18.0139	1.5951	-9.7677	14.0655	-9.7677
17	17.0	0.1771	0.00048271	34639.0	69.0	-3.57	1.41	0.7569	-1.4887	-2.2354	17.8648	1.4667	-9.8817	13.9214	-9.8817
18	18.0	0.1875	0.00048078	12032.0	39.0	-3.18	1.81	0.6828	-0.7015	-1.6526	18.3379	1.874	-9.5199	14.3787	-9.5199
19	19.0	0.1979	0.0004815	60667.0	76.0	-3.32	1.66	0.6957	-0.4686	-1.5927	18.161	1.7217	-9.6552	14.2077	-9.6552
20	20.0	0.2083	0.00048081	93082.0	102.0	-3.18	5.83	0.6653	0.0328	-1.2734	18.3305	1.8677	-9.5256	14.3716	-9.5256
